User_SubFunctional_Area,User_Experience (Years),Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Match_Score
Network / System Administration,6-12 exp,0,0,education,training,0.78
Network / System Administration,6-12 exp,0,0,education,training,1.0
"Embedded, VLSI",6-12 exp,0,0,education,training,0.76
Network / System Administration,6-12 exp,0,0,education,training,1.0
Hardware / Telecom Equipment Design,6-12 exp,0,1,education,training,0.74
Hardware / Telecom Equipment Design,6-12 exp,1,0,education,training,0.76
Network / System Administration,6-12 exp,0,0,education,training,0.73
Network / System Administration,6-12 exp,0,0,education,training,0.86
Network / System Administration,6-12 exp,0,0,education,training,0.84
Network / System Administration,12+,0,0,education,training,0.84
Network / System Administration,12+,0,1,education,training,0.86
Network / System Administration,12+,0,1,education,training,0.86
Network / System Administration,12+,1,0,education,training,0.86
Network / System Administration,12+,0,0,education,training,0.73
Network / System Administration,12+,1,0,education,training,0.86
Network / System Administration,12+,1,0,education,training,0.86
Telecom Network Design / Management,12+,0,0,education,training,0.84
"Embedded, VLSI",12+,0,0,education,training,1.0
"Embedded, VLSI",6-12 exp,1,0,education,training,0.76
"Embedded, VLSI",6-12 exp,0,0,education,training,0.76
"Embedded, VLSI",6-12 exp,0,0,education,training,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,1,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Telecom Network Design / Management,6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,1,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,1.0
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
Hardware / Telecom Equipment Design,6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,1,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.76
"Embedded, VLSI",6-12 exp,0,0,engineering,construction,0.75
